id;ncloak_id;email;first_name;last_name;is_active
1;Interactions Unbranded Plastic Sausages open system;Fredy78@gmail.com;Edythe;Zemlak;false
2;Chips Refined Granite Cheese;Hardy12@yahoo.com;Ramon;Ledner;false
3;Executive;Roxanne8@hotmail.com;Noe;Pouros;true
4;JSON Fresh value-added;Gwendolyn95@hotmail.com;Antonina;Doyle;false
5;Books;Amir_Parker8@hotmail.com;Elroy;Mayer;false
6;fault-tolerant systems back-end;Conor_Connelly88@yahoo.com;Maggie;Kovacek;false
7;Concrete Marketing;Emmy_Pagac@hotmail.com;Brenna;Braun;true
8;Functionality Turkish Lira users;Dominique_Breitenberg91@gmail.com;Hilton;Hintz;true
9;Manager niches;Alda.Leannon24@hotmail.com;Rahul;Cummings;true
10;synthesizing;Jeramie.Hessel@hotmail.com;Felipa;Schaefer;false
